team,player,colorway,size,quantity
Oklahoma City Thunder,Russell Westbrook,Black Nike,XL,0
Oklahoma City Thunder,Russell Westbrook,Black Nike,XXL,0
Oklahoma City Thunder,Russell Westbrook,Orange Nike,L,0
Oklahoma City Thunder,Russell Westbrook,Orange Nike,M,1
Oklahoma City Thunder,Russell Westbrook,Orange Nike,S,0
Oklahoma City Thunder,Russell Westbrook,Orange Nike,XL,0
Oklahoma City Thunder,Russell Westbrook,Orange Nike,XXL,0
Philadelphia 76ers,Ben Simmons,Blue,L,0
Philadelphia 76ers,Ben Simmons,Blue,M,1
Philadelphia 76ers,Ben Simmons,Blue,S,0
Philadelphia 76ers,Ben Simmons,Blue,XL,0
Philadelphia 76ers,Ben Simmons,Blue,XXL,0
Philadelphia 76ers,Ben Simmons,Blue Nike,L,0
Philadelphia 76ers,Ben Simmons,Blue Nike,M,1
Philadelphia 76ers,Ben Simmons,Blue Nike,S,0
Philadelphia 76ers,Ben Simmons,Blue Nike,XL,0
Philadelphia 76ers,Ben Simmons,Blue Nike,XXL,0
Philadelphia 76ers,Ben Simmons,White Nike,L,0
Philadelphia 76ers,Ben Simmons,White Nike,M,1
Philadelphia 76ers,Ben Simmons,White Nike,S,1
Philadelphia 76ers,Ben Simmons,White Nike,XL,0
Philadelphia 76ers,Ben Simmons,White Nike,XXL,0
Philadelphia 76ers,Allen Iverson,Black,L,0
Philadelphia 76ers,Allen Iverson,Black,M,0
Philadelphia 76ers,Allen Iverson,Black,S,1
Philadelphia 76ers,Allen Iverson,Black,XL,0
Philadelphia 76ers,Allen Iverson,Black,XXL,0
Philadelphia 76ers,Joel Embiid,Blue Nike,L,0
Philadelphia 76ers,Joel Embiid,Blue Nike,M,1
Philadelphia 76ers,Joel Embiid,Blue Nike,S,1
Philadelphia 76ers,Joel Embiid,Blue Nike,XL,0
Philadelphia 76ers,Joel Embiid,Blue Nike,XXL,0
Philadelphia 76ers,Joel Embiid,White Nike,L,0
Philadelphia 76ers,Joel Embiid,White Nike,M,1
Philadelphia 76ers,Joel Embiid,White Nike,S,0
Philadelphia 76ers,Joel Embiid,White Nike,XL,0
Philadelphia 76ers,Joel Embiid,White Nike,XXL,0
